Druh školy skrátený;Typ školy skrátený;Druh 1;Druh 2;Kraj názov;NUTS3;Okres názov;LAU1;Počet organizačných zložiek;Zriaďovateľ - Forma vlastníctva názov;Zriaďovateľ - Typ názov;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Sabinov;SK0418;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Snina;SK0419;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Stará Ľubovňa;SK041A;3;cirkevná;cirkev, náboženská spoločnosť;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Svidník;SK041C;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Prešovský;SK041;Vranov nad Topľou;SK041D;5;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Bánovce nad Bebravou;SK0221;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Ilava;SK0222;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Myjava;SK0223;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Nové Mesto nad Váhom;SK0224;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Partizánske;SK0225;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Považská Bystrica;SK0226;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Prievidza;SK0227;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Prievidza;SK0227;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Púchov;SK0228;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Trenčín;SK0229;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trenčiansky;SK022;Trenčín;SK0229;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Dunajská Streda;SK0211;7;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Galanta;SK0212;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Hlohovec;SK0213;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Piešťany;SK0214;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Senica;SK0215;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Skalica;SK0216;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Trnavský;SK021;Trnava;SK0217;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Bytča;SK0311;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Čadca;SK0312;2;cirkevná;cirkev, náboženská spoločnosť;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Čadca;SK0312;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Dolný Kubín;SK0313;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Kysucké Nové Mesto;SK0314;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Liptovský Mikuláš;SK0315;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Martin;SK0316;3;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Martin;SK0316;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Námestovo;SK0317;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Ružomberok;SK0318;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Tvrdošín;SK031A;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Žilina;SK031B;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Žilinský;SK031;Žilina;SK031B;4;štátna;regionálny úrad školskej správy;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Bystrica;SK0321;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Bystrica;SK0321;5;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Bystrica;SK0321;27;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Štiavnica;SK0322;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Štiavnica;SK0322;2;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Banská Štiavnica;SK0322;6;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Brezno;SK0323;19;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Detva;SK0324;11;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Krupina;SK0325;12;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Lučenec;SK0326;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Lučenec;SK0326;3;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Lučenec;SK0326;35;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Poltár;SK0327;10;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Revúca;SK0328;16;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Rimavská Sobota;SK0329;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Rimavská Sobota;SK0329;1;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Rimavská Sobota;SK0329;47;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Veľký Krtíš;SK032A;19;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Zvolen;SK032B;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Zvolen;SK032B;3;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Zvolen;SK032B;14;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Žarnovica;SK032C;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Žarnovica;SK032C;9;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Žiar nad Hronom;SK032D;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Žiar nad Hronom;SK032D;1;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Banskobystrický;SK032;Žiar nad Hronom;SK032D;16;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava I;SK0101;3;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava I;SK0101;8;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava I;SK0101;7;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava I;SK0101;1;štátna;samosprávny kraj ;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava II;SK0102;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava II;SK0102;5;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava II;SK0102;16;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava II;SK0102;2;štátna;regionálny úrad školskej správy;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava II;SK0102;1;štátna;samosprávny kraj ;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava III;SK0103;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava III;SK0103;4;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava III;SK0103;13;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava IV;SK0104;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava IV;SK0104;7;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava IV;SK0104;11;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava V;SK0105;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava V;SK0105;11;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava V;SK0105;13;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Bratislava V;SK0105;1;štátna;samosprávny kraj ;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Malacky;SK0106;1;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Malacky;SK0106;1;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Malacky;SK0106;23;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Pezinok;SK0107;5;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Pezinok;SK0107;19;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Senec;SK0108;4;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Bratislavský;SK010;Senec;SK0108;27;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Gelnica;SK0421;12;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Gelnica;SK0421;1;štátna;regionálny úrad školskej správy;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Košice - okolie;SK0426;2;cirkevná;cirkev, náboženská spoločnosť;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Košice - okolie;SK0426;1;súkromná;súkromník;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Košice - okolie;SK0426;58;štátna;obec, mesto;
ZŠ;ZŠ;ZŠ;ZŠ;Košický;SK042;Košice I;SK0422;1;cirkevná;cirkev, náboženská spoločnosť;
